event_date,event_type,avg_pnl_before,avg_pnl_after,win_rate_before,win_rate_after,avg_trade_size_before,avg_trade_size_after
2024-09-25,Positive Shift (Fear → Greed),0.0,0.0,0.0,0.0,6113.57,1610.4625454545453
2024-09-26,Negative Shift (Greed → Fear),0.0,0.0,0.0,0.0,2216.6474999999996,1106.0786
2024-09-27,Positive Shift (Fear → Greed),0.0,0.0,0.0,0.0,4682.01111111111,665.8816
2024-11-29,Positive Shift (Fear → Greed),,0.0,,0.0,,1779.0295454545458
2024-12-20,Negative Shift (Greed → Fear),0.0,0.0,0.0,0.0,3736.9040909090904,3422.064857142857
2025-01-06,Positive Shift (Fear → Greed),0.0,10647.977,0.0,100.0,4095.53,38563.98
2025-01-09,Negative Shift (Greed → Fear),0.0,,0.0,,2910.8484,
2025-01-24,Positive Shift (Fear → Greed),,3.7564285714285712,,22.857142857142858,,2271.454142857143
2025-01-26,Negative Shift (Greed → Fear),0.0,20.77169014084507,0.0,53.52112676056338,3766.2375,1756.5991549295775
2025-02-07,Negative Shift (Greed → Fear),0.0,0.0,0.0,0.0,15000.0,2206.1225
2025-02-14,Positive Shift (Fear → Greed),,0.0,,0.0,,3091.217245901639
2025-02-21,Positive Shift (Fear → Greed),0.0,0.0,0.0,0.0,701.221111111111,1038.0950000000003
2025-02-22,Negative Shift (Greed → Fear),0.0,596.9103291970803,0.0,99.27007299270073,374.33,1940.0335036496351
2025-02-25,Negative Shift (Greed → Fear),0.0,1908.7215,0.0,94.11764705882352,1038.0950000000003,4304.83705882353
2025-02-26,Negative Shift (Greed → Fear),596.9103291970803,807.2755166666666,99.27007299270073,50.0,1940.0335036496351,2018.3746666666666
2025-03-02,Positive Shift (Fear → Greed),807.2755166666666,927.2623065174132,50.0,43.28358208955223,2018.3746666666666,3554.0239303482576
2025-03-04,Negative Shift (Greed → Fear),512.0479909090909,0.0,63.63636363636363,0.0,1923.3121818181821,1919.5163157894735
2025-03-07,Positive Shift (Fear → Greed),914.2286276216217,-42.53968253968254,41.62162162162162,0.0,3534.090054054054,508.14253968253973
2025-03-10,Negative Shift (Greed → Fear),0.0,0.0,0.0,0.0,347.8289473684211,6911.925
2025-03-15,Positive Shift (Fear → Greed),,68.7325853164557,,7.59493670886076,,8509.202784810126
2025-03-17,Negative Shift (Greed → Fear),0.0,89.55277416666667,0.0,40.07936507936508,5925.5,5237.940277777778
2025-03-20,Positive Shift (Fear → Greed),88.21832791509432,,12.264150943396226,,7243.621273584906,
2025-03-27,Negative Shift (Greed → Fear),,17.504854690476193,,100.0,,1909.8789285714283
2025-04-07,Negative Shift (Greed → Fear),0.0,-5.9159445669642885,0.0,54.761904761904766,2537.0485294117643,17233.940892857143
2025-04-10,Positive Shift (Fear → Greed),-179.84543345408164,56.422896296452194,28.316326530612244,18.340348767288035,8779.852908163264,37637.17465423933
2025-04-13,Positive Shift (Fear → Greed),66.88407452920762,62.72651711894737,27.877385772122615,46.63157894736842,35975.76358588779,32662.437094736844
2025-04-14,Negative Shift (Greed → Fear),56.422896296452194,61.848214869019145,18.340348767288035,49.34210526315789,37637.17465423933,32293.70285885168
2025-04-22,Positive Shift (Fear → Greed),63.37394050312678,53.84518331185568,34.05343945423536,51.22422680412371,43233.02164297896,44137.00179123711
2025-04-23,Positive Shift (Fear → Greed),79.42209746038961,33.07363998340504,36.038961038961034,39.88936693300553,48530.241246753256,41738.95695759066
2025-04-28,Negative Shift (Greed → Fear),18.30756374423963,75.80431398582475,37.903225806451616,30.541237113402065,41501.809078341015,28153.931771907217
2025-04-29,Positive Shift (Fear → Greed),39.22893119214876,0.0,36.053719008264466,0.0,37285.315185950414,21085.64948214286
2025-05-01,Negative Shift (Greed → Fear),73.16497447108604,,38.692994828396806,,31972.421133051244,
